time,1,2,3
1640014256279,4.59546,-3.10074,0.897148,
1640014256299,4.5908,-3.08802,0.897148,
1640014256319,4.5908,-3.08802,0.8804,
1640014256339,4.59919,-3.08802,0.8804,
1640014256359,4.59919,-3.09083,0.882437,
1640014256379,4.59919,-3.09083,0.882437,
1640014256399,4.58949,-3.08867,0.882437,
1640014256419,4.58949,-3.08867,0.8761,
1640014256439,4.5783,-3.09751,0.8761,
1640014256459,4.5783,-3.09751,0.876552,
1640014256479,4.59191,-3.09751,0.876552,
1640014256499,4.59191,-3.10204,0.876552,
1640014256519,4.59191,-3.10204,0.874289,
1640014256539,4.588,-3.08263,0.874289,
1640014256559,4.588,-3.08263,0.893979,
1640014256579,4.59359,-3.08263,0.893979,
1640014256599,4.59359,-3.09083,0.877458,
1640014256619,4.59359,-3.09083,0.877458,
1640014256639,4.60347,-3.09061,0.877458,
1640014256659,4.60347,-3.09061,0.879495,
1640014256679,4.5852,-3.0891,0.879495,
1640014256699,4.5852,-3.0891,0.884474,
1640014256719,4.58651,-3.0891,0.884474,
1640014256739,4.58651,-3.08608,0.884474,
1640014256759,4.58651,-3.08608,0.891263,
1640014256779,4.58968,-3.08285,0.891263,
1640014256799,4.58968,-3.08285,0.877005,
1640014256819,4.59285,-3.08285,0.877005,
1640014256839,4.59285,-3.09104,0.879947,
1640014256859,4.59285,-3.09104,0.879947,
1640014256879,4.60198,-3.09514,0.879947,
1640014256899,4.60198,-3.09514,0.8847,
1640014256919,4.59005,-3.08716,0.8847,
1640014256939,4.59005,-3.08716,0.873836,
1640014256959,4.59098,-3.08716,0.873836,
1640014256979,4.59098,-3.09794,0.873836,
1640014256999,4.59098,-3.09794,0.878363,
1640014257019,4.58949,-3.08867,0.878363,
1640014257039,4.58949,-3.08867,0.874515,
1640014257059,4.58595,-3.08867,0.874515,
1640014257079,4.58595,-3.09018,0.88221,
1640014257099,4.58595,-3.09018,0.88221,
1640014257119,4.5921,-3.08651,0.88221,
1640014257139,4.5921,-3.08651,0.881079,
1640014257159,4.57569,-3.09471,0.881079,
1640014257179,4.57569,-3.09471,0.894658,
1640014257199,4.60198,-3.09471,0.894658,
1640014257219,4.60198,-3.09622,0.894658,
1640014257239,4.60198,-3.09622,0.862973,
