time,1,2,3
1640013895771,-1.33133e-05,-1.40164e-06,-1.25645e-05,
1640013895791,-1.33133e-05,-1.43983e-06,-1.25719e-05,
1640013895811,-1.33133e-05,-1.43983e-06,-1.25719e-05,
1640013895831,-1.32732e-05,-1.35973e-06,-1.25719e-05,
1640013895851,-1.32732e-05,-1.35973e-06,-1.25673e-05,
1640013895871,-1.32956e-05,-1.35973e-06,-1.25673e-05,
1640013895891,-1.32956e-05,-1.41189e-06,-1.25924e-05,
1640013895911,-1.32956e-05,-1.41189e-06,-1.25924e-05,
1640013895931,-1.3236e-05,-1.36159e-06,-1.25784e-05,
1640013895951,-1.3236e-05,-1.36159e-06,-1.25784e-05,
1640013895971,-1.32564e-05,-1.34949e-06,-1.25784e-05,
1640013895991,-1.32564e-05,-1.34949e-06,-1.25524e-05,
1640013896011,-1.33058e-05,-1.34949e-06,-1.25524e-05,
1640013896031,-1.33058e-05,-1.38395e-06,-1.26073e-05,
1640013896051,-1.33058e-05,-1.38395e-06,-1.26073e-05,
1640013896071,-1.32993e-05,-1.39605e-06,-1.26073e-05,
1640013896091,-1.32993e-05,-1.39605e-06,-1.25943e-05,
1640013896111,-1.32676e-05,-1.39605e-06,-1.25943e-05,
1640013896131,-1.32676e-05,-1.40164e-06,-1.25542e-05,
1640013896151,-1.32676e-05,-1.40164e-06,-1.25542e-05,
1640013896171,-1.32583e-05,-1.35973e-06,-1.2489e-05,
1640013896191,-1.32583e-05,-1.35973e-06,-1.2489e-05,
1640013896211,-1.32807e-05,-1.37091e-06,-1.2489e-05,
1640013896231,-1.32807e-05,-1.37091e-06,-1.26166e-05,
1640013896251,-1.32462e-05,-1.37091e-06,-1.26166e-05,
1640013896271,-1.32462e-05,-1.3914e-06,-1.25747e-05,
1640013896291,-1.32462e-05,-1.3914e-06,-1.25747e-05,
1640013896311,-1.3222e-05,-1.41654e-06,-1.25747e-05,
1640013896331,-1.3222e-05,-1.41654e-06,-1.26297e-05,
1640013896351,-1.32499e-05,-1.41654e-06,-1.26297e-05,
1640013896371,-1.32499e-05,-1.37184e-06,-1.25635e-05,
1640013896391,-1.32499e-05,-1.37184e-06,-1.25635e-05,
1640013896411,-1.3276e-05,-1.37556e-06,-1.2558e-05,
1640013896431,-1.3276e-05,-1.37556e-06,-1.2558e-05,
1640013896451,-1.32853e-05,-1.37743e-06,-1.2558e-05,
1640013896471,-1.32853e-05,-1.37743e-06,-1.25654e-05,
1640013896491,-1.33077e-05,-1.37743e-06,-1.25654e-05,
1640013896511,-1.33077e-05,-1.33086e-06,-1.26148e-05,
1640013896531,-1.33077e-05,-1.33086e-06,-1.26148e-05,
1640013896551,-1.3303e-05,-1.36718e-06,-1.26148e-05,
1640013896571,-1.3303e-05,-1.36718e-06,-1.2558e-05,
1640013896591,-1.32993e-05,-1.36718e-06,-1.2558e-05,
1640013896611,-1.32993e-05,-1.39605e-06,-1.26017e-05,
1640013896631,-1.32993e-05,-1.39605e-06,-1.26017e-05,
1640013896651,-1.32592e-05,-1.37184e-06,-1.25747e-05,
1640013896671,-1.32592e-05,-1.37184e-06,-1.25747e-05,
1640013896691,-1.32788e-05,-1.42399e-06,-1.25747e-05,
1640013896711,-1.32788e-05,-1.42399e-06,-1.25533e-05,
1640013896731,-1.32807e-05,-1.42399e-06,-1.25533e-05,
1640013896751,-1.32807e-05,-1.41282e-06,-1.2558e-05,
1640013896771,-1.32807e-05,-1.41282e-06,-1.2558e-05,
1640013896791,-1.32825e-05,-1.36439e-06,-1.2558e-05,
1640013896811,-1.32825e-05,-1.36439e-06,-1.25635e-05,
1640013896831,-1.32928e-05,-1.36439e-06,-1.25635e-05,
1640013896851,-1.32928e-05,-1.41189e-06,-1.26017e-05,
1640013896871,-1.32928e-05,-1.41189e-06,-1.26017e-05,
1640013896891,-1.32658e-05,-1.39233e-06,-1.25477e-05,
1640013896911,-1.32658e-05,-1.39233e-06,-1.25477e-05,
1640013896931,-1.33263e-05,-1.35973e-06,-1.25477e-05,
1640013896951,-1.33263e-05,-1.35973e-06,-1.26231e-05,
1640013896971,-1.32434e-05,-1.35973e-06,-1.26231e-05,
1640013896991,-1.32434e-05,-1.36346e-06,-1.25784e-05,
1640013897011,-1.32434e-05,-1.36346e-06,-1.25784e-05,
1640013897031,-1.32909e-05,-1.35507e-06,-1.25784e-05,
1640013897051,-1.32909e-05,-1.35507e-06,-1.25775e-05,
1640013897071,-1.32918e-05,-1.35507e-06,-1.25775e-05,
1640013897091,-1.32918e-05,-1.39605e-06,-1.25617e-05,
1640013897111,-1.32918e-05,-1.39605e-06,-1.25617e-05,
1640013897131,-1.32639e-05,-1.38301e-06,-1.25878e-05,
1640013897151,-1.32639e-05,-1.38301e-06,-1.25878e-05,
1640013897171,-1.32993e-05,-1.34017e-06,-1.25878e-05,
1640013897191,-1.32993e-05,-1.34017e-06,-1.2611e-05,
1640013897211,-1.32564e-05,-1.34017e-06,-1.2611e-05,
1640013897231,-1.32564e-05,-1.37649e-06,-1.2503e-05,
1640013897251,-1.32564e-05,-1.37649e-06,-1.2503e-05,
1640013897271,-1.32127e-05,-1.36625e-06,-1.2503e-05,
1640013897291,-1.32127e-05,-1.36625e-06,-1.25943e-05,
1640013897311,-1.32779e-05,-1.36625e-06,-1.25943e-05,
1640013897331,-1.32779e-05,-1.3588e-06,-1.2612e-05,
1640013897351,-1.32779e-05,-1.3588e-06,-1.2612e-05,
1640013897371,-1.3344e-05,-1.39326e-06,-1.25496e-05,
1640013897391,-1.3344e-05,-1.39326e-06,-1.25496e-05,
1640013897411,-1.32881e-05,-1.37649e-06,-1.25496e-05,
1640013897431,-1.32881e-05,-1.37649e-06,-1.25729e-05,
1640013897451,-1.32564e-05,-1.37649e-06,-1.25729e-05,
1640013897471,-1.32564e-05,-1.36253e-06,-1.25989e-05,
1640013897491,-1.32564e-05,-1.36253e-06,-1.25989e-05,
1640013897511,-1.33226e-05,-1.41282e-06,-1.25989e-05,
1640013897531,-1.33226e-05,-1.41282e-06,-1.25589e-05,
1640013897551,-1.32723e-05,-1.41282e-06,-1.25589e-05,
1640013897571,-1.32723e-05,-1.37091e-06,-1.25673e-05,
1640013897591,-1.32723e-05,-1.37091e-06,-1.25673e-05,
1640013897611,-1.329e-05,-1.37277e-06,-1.25784e-05,
1640013897631,-1.329e-05,-1.37277e-06,-1.25784e-05,
1640013897651,-1.33077e-05,-1.32807e-06,-1.25784e-05,
1640013897671,-1.33077e-05,-1.32807e-06,-1.26008e-05,
1640013897691,-1.33216e-05,-1.32807e-06,-1.26008e-05,
1640013897711,-1.33216e-05,-1.37556e-06,-1.26129e-05,
1640013897731,-1.33216e-05,-1.37556e-06,-1.26129e-05,
1640013897751,-1.32471e-05,-1.40537e-06,-1.26129e-05,
1640013897771,-1.32471e-05,-1.40537e-06,-1.25375e-05,
1640013897791,-1.32462e-05,-1.40537e-06,-1.25375e-05,
1640013897811,-1.32462e-05,-1.40164e-06,-1.25924e-05,
1640013897831,-1.32462e-05,-1.40164e-06,-1.25924e-05,
1640013897851,-1.33002e-05,-1.45473e-06,-1.25682e-05,
1640013897871,-1.33002e-05,-1.45473e-06,-1.25682e-05,
