time,1,2,3
1640014256279,2.29543e-05,-1.33952e-05,3.69176e-06,
1640014256299,2.2931e-05,-1.33403e-05,3.69176e-06,
1640014256319,2.2931e-05,-1.33403e-05,3.62285e-06,
1640014256339,2.29729e-05,-1.33403e-05,3.62285e-06,
1640014256359,2.29729e-05,-1.33524e-05,3.63123e-06,
1640014256379,2.29729e-05,-1.33524e-05,3.63123e-06,
1640014256399,2.29245e-05,-1.33431e-05,3.63123e-06,
1640014256419,2.29245e-05,-1.33431e-05,3.60515e-06,
1640014256439,2.28686e-05,-1.33812e-05,3.60515e-06,
1640014256459,2.28686e-05,-1.33812e-05,3.60701e-06,
1640014256479,2.29366e-05,-1.33812e-05,3.60701e-06,
1640014256499,2.29366e-05,-1.34008e-05,3.60701e-06,
1640014256519,2.29366e-05,-1.34008e-05,3.5977e-06,
1640014256539,2.29171e-05,-1.3317e-05,3.5977e-06,
1640014256559,2.29171e-05,-1.3317e-05,3.67872e-06,
1640014256579,2.2945e-05,-1.3317e-05,3.67872e-06,
1640014256599,2.2945e-05,-1.33524e-05,3.61074e-06,
1640014256619,2.2945e-05,-1.33524e-05,3.61074e-06,
1640014256639,2.29944e-05,-1.33514e-05,3.61074e-06,
1640014256659,2.29944e-05,-1.33514e-05,3.61912e-06,
1640014256679,2.29031e-05,-1.33449e-05,3.61912e-06,
1640014256699,2.29031e-05,-1.33449e-05,3.63961e-06,
1640014256719,2.29096e-05,-1.33449e-05,3.63961e-06,
1640014256739,2.29096e-05,-1.33319e-05,3.63961e-06,
1640014256759,2.29096e-05,-1.33319e-05,3.66755e-06,
1640014256779,2.29254e-05,-1.33179e-05,3.66755e-06,
1640014256799,2.29254e-05,-1.33179e-05,3.60887e-06,
1640014256819,2.29413e-05,-1.33179e-05,3.60887e-06,
1640014256839,2.29413e-05,-1.33533e-05,3.62098e-06,
1640014256859,2.29413e-05,-1.33533e-05,3.62098e-06,
1640014256879,2.29869e-05,-1.3371e-05,3.62098e-06,
1640014256899,2.29869e-05,-1.3371e-05,3.64054e-06,
1640014256919,2.29273e-05,-1.33365e-05,3.64054e-06,
1640014256939,2.29273e-05,-1.33365e-05,3.59584e-06,
1640014256959,2.2932e-05,-1.33365e-05,3.59584e-06,
1640014256979,2.2932e-05,-1.33831e-05,3.59584e-06,
1640014256999,2.2932e-05,-1.33831e-05,3.61446e-06,
1640014257019,2.29245e-05,-1.33431e-05,3.61446e-06,
1640014257039,2.29245e-05,-1.33431e-05,3.59863e-06,
1640014257059,2.29068e-05,-1.33431e-05,3.59863e-06,
1640014257079,2.29068e-05,-1.33496e-05,3.63029e-06,
1640014257099,2.29068e-05,-1.33496e-05,3.63029e-06,
1640014257119,2.29375e-05,-1.33337e-05,3.63029e-06,
1640014257139,2.29375e-05,-1.33337e-05,3.62564e-06,
1640014257159,2.28556e-05,-1.33691e-05,3.62564e-06,
1640014257179,2.28556e-05,-1.33691e-05,3.68152e-06,
1640014257199,2.29869e-05,-1.33691e-05,3.68152e-06,
1640014257219,2.29869e-05,-1.33757e-05,3.68152e-06,
1640014257239,2.29869e-05,-1.33757e-05,3.55113e-06,
1640014257259,2.29143e-05,-1.33887e-05,3.55113e-06,
1640014257279,2.29143e-05,-1.33887e-05,3.66569e-06,
1640014257299,2.29403e-05,-1.33887e-05,3.66569e-06,
1640014257319,2.29403e-05,-1.33757e-05,3.68711e-06,
1640014257339,2.29403e-05,-1.33757e-05,3.68711e-06,
1640014257359,2.2972e-05,-1.33673e-05,3.68711e-06,
1640014257379,2.2972e-05,-1.33673e-05,3.64427e-06,
1640014257399,2.29431e-05,-1.33486e-05,3.64427e-06,
1640014257419,2.29431e-05,-1.33486e-05,3.63961e-06,
1640014257439,2.29431e-05,-1.33486e-05,3.63961e-06,
1640014257459,2.29431e-05,-1.33459e-05,3.63961e-06,
1640014257479,2.29431e-05,-1.33459e-05,3.66569e-06,
1640014257499,2.28742e-05,-1.33486e-05,3.66569e-06,
1640014257519,2.28742e-05,-1.33486e-05,3.62098e-06,
1640014257539,2.28947e-05,-1.33486e-05,3.62098e-06,
1640014257559,2.28947e-05,-1.33235e-05,3.58746e-06,
1640014257579,2.28947e-05,-1.33235e-05,3.58746e-06,
1640014257599,2.29375e-05,-1.33915e-05,3.58746e-06,
1640014257619,2.29375e-05,-1.33915e-05,3.61819e-06,
1640014257639,2.29357e-05,-1.33011e-05,3.61819e-06,
1640014257659,2.29357e-05,-1.33011e-05,3.6601e-06,
1640014257679,2.29506e-05,-1.33011e-05,3.6601e-06,
1640014257699,2.29506e-05,-1.33766e-05,3.6601e-06,
1640014257719,2.29506e-05,-1.33766e-05,3.6424e-06,
1640014257739,2.29171e-05,-1.329e-05,3.6424e-06,
1640014257759,2.29171e-05,-1.329e-05,3.60701e-06,
1640014257779,2.29897e-05,-1.329e-05,3.60701e-06,
1640014257799,2.29897e-05,-1.33747e-05,3.63775e-06,
1640014257819,2.29897e-05,-1.33747e-05,3.63775e-06,
1640014257839,2.28742e-05,-1.32918e-05,3.63775e-06,
1640014257859,2.28742e-05,-1.32918e-05,3.62191e-06,
1640014257879,2.2958e-05,-1.33747e-05,3.62191e-06,
1640014257899,2.2958e-05,-1.33747e-05,3.63868e-06,
1640014257919,2.28882e-05,-1.33747e-05,3.63868e-06,
1640014257939,2.28882e-05,-1.33161e-05,3.63868e-06,
1640014257959,2.28882e-05,-1.33161e-05,3.88175e-06,
1640014257979,2.33697e-05,-1.37035e-05,3.88175e-06,
1640014257999,2.33697e-05,-1.37035e-05,6.95791e-06,
1640014258019,2.39704e-05,-1.37035e-05,6.95791e-06,
1640014258039,2.39704e-05,-1.20411e-05,1.15093e-05,
1640014258059,2.39704e-05,-1.20411e-05,1.15093e-05,
1640014258079,2.22027e-05,-1.29063e-05,1.15093e-05,
1640014258099,2.22027e-05,-1.29063e-05,2.33548e-05,
1640014258119,2.67131e-05,-1.28476e-05,2.33548e-05,
