time,1,2,3
1640014079267,1.5832e-08,-4.191e-08,1.17347e-07,
1640014079287,-8.382e-09,-6.5193e-08,1.17347e-07,
1640014079307,-8.382e-09,-6.5193e-08,-7.5437e-08,
1640014079327,-3.1665e-08,-6.5193e-08,-7.5437e-08,
1640014079346,-3.1665e-08,-7.0781e-08,1.59256e-07,
1640014079366,-3.1665e-08,-7.0781e-08,1.59256e-07,
1640014079386,-2.3283e-08,-1.1176e-08,1.59256e-07,
1640014079406,-2.3283e-08,-1.1176e-08,-1.9558e-08,
1640014079427,4.2841e-08,-1.1176e-08,-1.9558e-08,
1640014079447,4.2841e-08,-2.0489e-08,3.9116e-08,
1640014079467,4.2841e-08,-2.0489e-08,3.9116e-08,
1640014079487,-8.382e-09,-4.936e-08,1.1269e-07,
1640014079507,-8.382e-09,-4.936e-08,1.1269e-07,
1640014079527,4.0978e-08,-7.3574e-08,1.1269e-07,
1640014079547,4.0978e-08,-7.3574e-08,-5.1223e-08,
1640014079567,-1.397e-08,-7.3574e-08,-5.1223e-08,
1640014079586,-1.397e-08,-1.8626e-08,1.66707e-07,
1640014079606,-1.397e-08,-1.8626e-08,1.66707e-07,
1640014079627,4.657e-09,-3.3528e-08,1.66707e-07,
1640014079646,4.657e-09,-3.3528e-08,-4.2841e-08,
1640014079667,-8.382e-09,-3.3528e-08,-4.2841e-08,
1640014079687,-8.382e-09,-4.8429e-08,5.4948e-08,
1640014079706,-8.382e-09,-4.8429e-08,5.4948e-08,
1640014079727,-4.7497e-08,-4.6566e-08,1.33179e-07,
1640014079747,-4.7497e-08,-4.6566e-08,1.33179e-07,
1640014079766,1.7695e-08,-2.4214e-08,1.33179e-07,
1640014079787,1.7695e-08,-2.4214e-08,-5.3085e-08,
1640014079807,9.31e-10,-2.4214e-08,-5.3085e-08,
1640014079826,9.31e-10,-9.313e-09,1.4808e-07,
1640014079846,9.31e-10,-9.313e-09,1.4808e-07,
1640014079867,1.397e-08,-6.5193e-08,1.4808e-07,
1640014079886,1.397e-08,-6.5193e-08,-1.0245e-08,
1640014079906,4.657e-09,-6.5193e-08,-1.0245e-08,
1640014079926,4.657e-09,-2.7008e-08,-1.4901e-08,
1640014079946,4.657e-09,-2.7008e-08,-1.4901e-08,
1640014079966,-1.9558e-08,-4.191e-08,9.4995e-08,
1640014079986,-1.9558e-08,-4.191e-08,9.4995e-08,
1640014080007,-7.451e-09,-5.6811e-08,9.4995e-08,
1640014080027,-7.451e-09,-5.6811e-08,-3.2596e-08,
1640014080047,1.7695e-08,-5.6811e-08,-3.2596e-08,
1640014080067,1.7695e-08,-1.5832e-08,1.04308e-07,
1640014080087,1.7695e-08,-1.5832e-08,1.04308e-07,
1640014080107,-2.3283e-08,-2.9802e-08,1.04308e-07,
1640014080127,-2.3283e-08,-2.9802e-08,-5.0291e-08,
1640014080147,-3.725e-09,-2.9802e-08,-5.0291e-08,
1640014080167,-3.725e-09,-4.4703e-08,5.5879e-08,
1640014080187,-3.725e-09,-4.4703e-08,5.5879e-08,
1640014080206,-1.3039e-08,-6.333e-08,1.00583e-07,
1640014080227,-1.3039e-08,-6.333e-08,1.00583e-07,
1640014080246,-8.382e-09,-3.9116e-08,1.00583e-07,
1640014080267,-8.382e-09,-3.9116e-08,-2.8871e-08,
1640014080287,9.313e-09,-3.9116e-08,-2.8871e-08,
1640014080307,9.313e-09,-4.3772e-08,1.49943e-07,
1640014080326,9.313e-09,-4.3772e-08,1.49943e-07,
1640014080347,-2.794e-09,2.794e-09,1.49943e-07,
1640014080367,-2.794e-09,2.794e-09,-1.3039e-08,
1640014080386,2.794e-08,2.794e-09,-1.3039e-08,
1640014080407,2.794e-08,-4.191e-08,3.2596e-08,
1640014080427,2.794e-08,-4.191e-08,3.2596e-08,
1640014080447,-1.0245e-08,-3.9116e-08,1.23866e-07,
1640014080467,-1.0245e-08,-3.9116e-08,1.23866e-07,
1640014080487,-8.382e-09,-3.539e-08,1.23866e-07,
1640014080507,-8.382e-09,-3.539e-08,-7.2643e-08,
1640014080526,-1.4901e-08,-3.539e-08,-7.2643e-08,
1640014080547,-1.4901e-08,-9.31e-10,1.15484e-07,
1640014080567,-1.4901e-08,-9.31e-10,1.15484e-07,
1640014080587,2.8871e-08,-4.0047e-08,1.15484e-07,
1640014080607,2.8871e-08,-4.0047e-08,-4.191e-08,
1640014080627,-1.2107e-08,-4.0047e-08,-4.191e-08,
