time,1,2,3
1640014780021,0.649286,1.78943,1.8358,
1640014780041,0.649286,1.78943,1.8358,
1640014780061,0.649286,1.78943,1.8358,
1640014780081,0.649286,1.78943,1.8358,
1640014780117,0.623249,1.91543,1.645,
1640014780121,0.623249,1.91543,1.645,
1640014780141,0.623249,1.91543,1.645,
1640014780161,0.623249,1.91543,1.645,
1640014780181,0.623249,1.91543,1.645,
1640014780201,0.623249,1.91543,1.645,
1640014780221,0.623249,1.91543,1.645,
1640014780241,0.623249,1.91543,1.645,
1640014780261,0.623249,1.91543,1.645,
1640014780281,0.623249,1.91543,1.645,
1640014780301,0.623249,1.91543,1.645,
1640014780321,0.623249,1.91543,1.645,
1640014780341,0.623249,1.91543,1.645,
1640014780361,0.623249,1.91543,1.645,
1640014780381,0.623249,1.91543,1.645,
1640014780401,0.623249,1.91543,1.645,
1640014780421,0.623249,1.91543,1.645,
1640014780441,0.623249,1.91543,1.645,
1640014780461,0.623249,1.91543,1.645,
1640014780481,0.623249,1.91543,1.645,
1640014780501,0.623249,1.91543,1.645,
1640014780521,0.623249,1.91543,1.645,
1640014780541,0.623249,1.91543,1.645,
1640014780561,0.593024,1.91543,1.645,
1640014780581,0.593024,1.8335,1.67973,
1640014780601,0.586651,1.8335,1.67973,
1640014780621,0.586651,1.83961,1.68849,
1640014780641,0.603949,1.83961,1.68849,
1640014780661,0.603949,1.8209,1.7006,
1640014780681,0.596301,1.8209,1.7006,
1640014780701,0.596301,1.82701,1.69743,
1640014780721,0.594663,1.82701,1.69743,
1640014780741,0.594663,1.8276,1.69929,
1640014780761,0.594663,1.8276,1.69929,
1640014780781,0.58738,1.83587,1.6937,
1640014780801,0.58738,1.83587,1.6937,
1640014780821,0.582828,1.82681,1.70153,
1640014780841,0.582828,1.82681,1.70153,
1640014780861,0.578822,1.8209,1.70153,
1640014780881,0.578822,1.8209,1.70041,
1640014780901,0.576637,1.81342,1.70041,
1640014780921,0.576637,1.81342,1.69612,
1640014780941,0.573906,1.81854,1.69612,
1640014780961,0.573906,1.81854,1.70097,
1640014780981,0.570082,1.83035,1.70097,
1640014781001,0.570082,1.83035,1.70805,
1640014781021,0.564984,1.81342,1.70805,
1640014781041,0.564984,1.81342,1.72574,
1640014781061,0.567533,1.81342,1.72574,
1640014781081,0.567533,1.82307,1.73766,
1640014781101,0.580279,1.82307,1.73766,
1640014781121,0.580279,1.8211,1.74865,
1640014781141,0.564984,1.8211,1.74865,
1640014781161,0.564984,1.64941,3.08733,
1640014781181,0.849388,1.64941,3.08733,
1640014781201,0.849388,1.42573,3.08733,
1640014781221,0.917121,1.42573,4.77824,
1640014781241,0.917121,1.4021,4.77824,
1640014781261,0.917121,1.4021,6.07558,
1640014781281,0.466299,2.21233,6.07558,
1640014781301,0.466299,2.21233,7.17435,
1640014781321,0.731402,2.06407,7.17435,
1640014781341,0.731402,2.06407,8.70265,
1640014781361,0.791124,2.14381,8.70265,
1640014781381,0.791124,2.14381,10.0715,
1640014781401,0.894361,2.14381,10.0715,
1640014781421,0.894361,1.9798,11.2562,
1640014781441,1.08408,1.9798,11.2562,
1640014781461,1.08408,1.93215,12.6671,
