time,1,2,3
1640013895771,-3.02231,-0.284308,-2.65634,
1640013895791,-3.02231,-0.292054,-2.65791,
1640013895811,-3.02231,-0.292054,-2.65791,
1640013895831,-3.01321,-0.275807,-2.65791,
1640013895851,-3.01321,-0.275807,-2.65693,
1640013895871,-3.01829,-0.275807,-2.65693,
1640013895891,-3.01829,-0.286386,-2.66224,
1640013895911,-3.01829,-0.286386,-2.66224,
1640013895931,-3.00476,-0.276185,-2.65929,
1640013895951,-3.00476,-0.276185,-2.65929,
1640013895971,-3.00941,-0.273729,-2.65929,
1640013895991,-3.00941,-0.273729,-2.65378,
1640013896011,-3.02061,-0.273729,-2.65378,
1640013896031,-3.02061,-0.280719,-2.66539,
1640013896051,-3.02061,-0.280719,-2.66539,
1640013896071,-3.01913,-0.283175,-2.66539,
1640013896091,-3.01913,-0.283175,-2.66264,
1640013896111,-3.01195,-0.283175,-2.66264,
1640013896131,-3.01195,-0.284308,-2.65417,
1640013896151,-3.01195,-0.284308,-2.65417,
1640013896171,-3.00983,-0.275807,-2.64039,
1640013896191,-3.00983,-0.275807,-2.64039,
1640013896211,-3.01491,-0.278074,-2.64039,
1640013896231,-3.01491,-0.278074,-2.66736,
1640013896251,-3.00708,-0.278074,-2.66736,
1640013896271,-3.00708,-0.28223,-2.6585,
1640013896291,-3.00708,-0.28223,-2.6585,
1640013896311,-3.00159,-0.287331,-2.6585,
1640013896331,-3.00159,-0.287331,-2.67012,
1640013896351,-3.00793,-0.287331,-2.67012,
1640013896371,-3.00793,-0.278263,-2.65614,
1640013896391,-3.00793,-0.278263,-2.65614,
1640013896411,-3.01385,-0.279019,-2.65496,
1640013896431,-3.01385,-0.279019,-2.65496,
1640013896451,-3.01596,-0.279397,-2.65496,
1640013896471,-3.01596,-0.279397,-2.65653,
1640013896491,-3.02104,-0.279397,-2.65653,
1640013896511,-3.02104,-0.269951,-2.66697,
1640013896531,-3.02104,-0.269951,-2.66697,
1640013896551,-3.01998,-0.277319,-2.66697,
1640013896571,-3.01998,-0.277319,-2.65496,
1640013896591,-3.01913,-0.277319,-2.65496,
1640013896611,-3.01913,-0.283175,-2.66421,
1640013896631,-3.01913,-0.283175,-2.66421,
1640013896651,-3.01004,-0.278263,-2.6585,
1640013896671,-3.01004,-0.278263,-2.6585,
1640013896691,-3.01448,-0.288842,-2.6585,
1640013896711,-3.01448,-0.288842,-2.65397,
1640013896731,-3.01491,-0.288842,-2.65397,
1640013896751,-3.01491,-0.286575,-2.65496,
1640013896771,-3.01491,-0.286575,-2.65496,
1640013896791,-3.01533,-0.276752,-2.65496,
1640013896811,-3.01533,-0.276752,-2.65614,
1640013896831,-3.01765,-0.276752,-2.65614,
1640013896851,-3.01765,-0.286386,-2.66421,
1640013896871,-3.01765,-0.286386,-2.66421,
1640013896891,-3.01152,-0.282419,-2.65279,
1640013896911,-3.01152,-0.282419,-2.65279,
1640013896931,-3.02527,-0.275807,-2.65279,
1640013896951,-3.02527,-0.275807,-2.66874,
1640013896971,-3.00645,-0.275807,-2.66874,
1640013896991,-3.00645,-0.276563,-2.65929,
1640013897011,-3.00645,-0.276563,-2.65929,
1640013897031,-3.01723,-0.274863,-2.65929,
1640013897051,-3.01723,-0.274863,-2.65909,
1640013897071,-3.01744,-0.274863,-2.65909,
1640013897091,-3.01744,-0.283175,-2.65575,
1640013897111,-3.01744,-0.283175,-2.65575,
1640013897131,-3.0111,-0.28053,-2.66126,
1640013897151,-3.0111,-0.28053,-2.66126,
1640013897171,-3.01913,-0.27184,-2.66126,
1640013897191,-3.01913,-0.27184,-2.66618,
1640013897211,-3.00941,-0.27184,-2.66618,
1640013897231,-3.00941,-0.279208,-2.64334,
1640013897251,-3.00941,-0.279208,-2.64334,
1640013897271,-2.99947,-0.27713,-2.64334,
1640013897291,-2.99947,-0.27713,-2.66264,
1640013897311,-3.01427,-0.27713,-2.66264,
1640013897331,-3.01427,-0.275619,-2.66638,
1640013897351,-3.01427,-0.275619,-2.66638,
1640013897371,-3.02928,-0.282608,-2.65319,
1640013897391,-3.02928,-0.282608,-2.65319,
1640013897411,-3.0166,-0.279208,-2.65319,
1640013897431,-3.0166,-0.279208,-2.65811,
1640013897451,-3.00941,-0.279208,-2.65811,
1640013897471,-3.00941,-0.276374,-2.66362,
1640013897491,-3.00941,-0.276374,-2.66362,
1640013897511,-3.02442,-0.286575,-2.66362,
1640013897531,-3.02442,-0.286575,-2.65516,
1640013897551,-3.013,-0.286575,-2.65516,
1640013897571,-3.013,-0.278074,-2.65693,
1640013897591,-3.013,-0.278074,-2.65693,
1640013897611,-3.01702,-0.278452,-2.65929,
1640013897631,-3.01702,-0.278452,-2.65929,
1640013897651,-3.02104,-0.269385,-2.65929,
1640013897671,-3.02104,-0.269385,-2.66402,
1640013897691,-3.02421,-0.269385,-2.66402,
1640013897711,-3.02421,-0.279019,-2.66658,
1640013897731,-3.02421,-0.279019,-2.66658,
1640013897751,-3.00729,-0.285064,-2.66658,
1640013897771,-3.00729,-0.285064,-2.65063,
1640013897791,-3.00708,-0.285064,-2.65063,
1640013897811,-3.00708,-0.284308,-2.66224,
1640013897831,-3.00708,-0.284308,-2.66224,
1640013897851,-3.01935,-0.295076,-2.65712,
1640013897871,-3.01935,-0.295076,-2.65712,
1640013897891,-3.01279,-0.280719,-2.65712,
1640013897911,-3.01279,-0.280719,-2.66323,
1640013897931,-3.01681,-0.280719,-2.66323,
1640013897951,-3.01681,-0.28053,-2.66008,
1640013897971,-3.01681,-0.28053,-2.66008,
1640013897991,-3.02949,-0.286386,-2.66008,
1640013898011,-3.02949,-0.286386,-2.6585,
1640013898031,-3.01448,-0.286386,-2.6585,
1640013898051,-3.01448,-0.279963,-2.65594,
1640013898071,-3.01448,-0.279963,-2.65594,
1640013898091,-3.02083,-0.283175,-2.66106,
1640013898111,-3.02083,-0.283175,-2.66106,
1640013898131,-3.01448,-0.284497,-2.66106,
1640013898151,-3.01448,-0.284497,-2.66914,
1640013898171,-3.00539,-0.284497,-2.66914,
1640013898191,-3.00539,-0.282986,-2.65988,
1640013898211,-3.00539,-0.282986,-2.65988,
1640013898231,-3.02928,-0.279208,-2.65988,
1640013898251,-3.02928,-0.279208,-2.66126,
1640013898271,-3.01617,-0.279208,-2.66126,
1640013898291,-3.01617,-0.286575,-2.66874,
1640013898311,-3.01617,-0.286575,-2.66874,
1640013898331,-3.02125,-0.273352,-2.66342,
1640013898351,-3.02125,-0.273352,-2.66342,
1640013898371,-3.02548,-0.283742,-2.66342,
1640013898391,-3.02548,-0.283742,-2.65909,
1640013898411,-3.01047,-0.283742,-2.65909,
1640013898431,-3.01047,-0.287709,-2.65712,
1640013898451,-3.01047,-0.287709,-2.65712,
1640013898471,-3.02463,-0.28582,-2.65712,
1640013898491,-3.02463,-0.28582,-2.66697,
1640013898511,-3.02992,-0.28582,-2.66697,
1640013898531,-3.02992,-0.284875,-2.65594,
1640013898551,-3.02992,-0.284875,-2.65594,
1640013898571,-3.01765,-0.286198,-2.66323,
1640013898591,-3.01765,-0.286198,-2.66323,
1640013898611,-3.02294,-0.278452,-2.66323,
1640013898631,-3.02294,-0.278452,-2.67229,
1640013898651,-3.02611,-0.278452,-2.67229,
