time,1,2,3
1640013765764,9.61125e-07,-6.24824e-06,-7.38539e-06,
1640013765784,9.40636e-07,-6.25569e-06,-7.38539e-06,
1640013765804,9.40636e-07,-6.25569e-06,-7.36024e-06,
1640013765824,9.30391e-07,-6.25569e-06,-7.36024e-06,
1640013765844,9.30391e-07,-6.29667e-06,-7.36024e-06,
1640013765864,9.30391e-07,-6.29667e-06,-7.4096e-06,
1640013765884,9.34117e-07,-6.29667e-06,-7.4096e-06,
1640013765904,9.34117e-07,-6.29667e-06,-7.33044e-06,
1640013765924,9.22941e-07,-6.29667e-06,-7.33044e-06,
1640013765944,9.22941e-07,-6.33672e-06,-7.37701e-06,
1640013765964,9.22941e-07,-6.33672e-06,-7.37701e-06,
1640013765984,9.22009e-07,-6.23707e-06,-7.37701e-06,
1640013766004,9.22009e-07,-6.23707e-06,-7.29412e-06,
1640013766024,9.18284e-07,-6.27711e-06,-7.29412e-06,
1640013766044,9.18284e-07,-6.27711e-06,-7.31274e-06,
1640013766064,9.05246e-07,-6.27711e-06,-7.31274e-06,
1640013766084,9.05246e-07,-6.27432e-06,-7.31274e-06,
1640013766104,9.05246e-07,-6.27432e-06,-7.36024e-06,
1640013766124,9.06177e-07,-6.2529e-06,-7.36024e-06,
1640013766144,9.06177e-07,-6.2529e-06,-7.38911e-06,
1640013766164,9.20147e-07,-6.2529e-06,-7.38911e-06,
1640013766184,9.20147e-07,-6.3004e-06,-7.37421e-06,
1640013766204,9.20147e-07,-6.3004e-06,-7.37421e-06,
1640013766224,9.47155e-07,-6.29108e-06,-7.37421e-06,
1640013766244,9.47155e-07,-6.29108e-06,-7.38073e-06,
1640013766264,9.33185e-07,-6.32089e-06,-7.38073e-06,
1640013766284,9.33185e-07,-6.32089e-06,-7.37328e-06,
1640013766304,9.20147e-07,-6.32089e-06,-7.37328e-06,
1640013766324,9.20147e-07,-6.21937e-06,-7.37328e-06,
1640013766344,9.20147e-07,-6.21937e-06,-7.4422e-06,
1640013766364,8.72649e-07,-6.30133e-06,-7.4422e-06,
1640013766384,8.72649e-07,-6.30133e-06,-7.26897e-06,
1640013766404,9.08971e-07,-6.30133e-06,-7.26897e-06,
1640013766424,9.08971e-07,-6.26035e-06,-7.37514e-06,
1640013766444,9.08971e-07,-6.26035e-06,-7.37514e-06,
1640013766464,8.67061e-07,-6.26501e-06,-7.37514e-06,
1640013766484,8.67061e-07,-6.26501e-06,-7.30623e-06,
1640013766504,9.83477e-07,-6.2529e-06,-7.30623e-06,
1640013766524,9.83477e-07,-6.2529e-06,-7.30064e-06,
1640013766544,9.23872e-07,-6.2529e-06,-7.30064e-06,
