time,1,2,3
1640014416931,0.529843,1.67461,1.7222,
1640014416951,0.541496,1.67461,1.7222,
1640014416971,0.541496,1.68662,1.71997,
1640014416991,0.541496,1.68662,1.71997,
1640014417011,0.548051,1.69587,1.71997,
1640014417031,0.548051,1.69587,1.71438,
1640014417051,0.53658,1.69587,1.71438,
1640014417071,0.53658,1.70651,1.71214,
1640014417091,0.540768,1.70651,1.71214,
1640014417111,0.540768,1.69528,1.71214,
1640014417131,0.540768,1.69528,1.71084,
1640014417151,0.550964,1.69528,1.71084,
1640014417171,0.550964,1.68347,1.70153,
1640014417191,0.543135,1.68347,1.70153,
1640014417211,0.543135,1.69174,1.72798,
1640014417231,0.543135,1.69174,1.72798,
1640014417251,0.556427,1.68957,1.72798,
1640014417271,0.556427,1.68957,1.71736,
1640014417291,0.540586,1.68957,1.71736,
1640014417311,0.540586,1.70454,1.7181,
1640014417331,0.533849,1.70454,1.7181,
1640014417351,0.533849,1.68248,1.7181,
1640014417371,0.533849,1.68248,1.71512,
1640014417391,0.534577,1.68248,1.71512,
1640014417411,0.534577,1.68583,1.7181,
1640014417431,0.535488,1.68583,1.7181,
1640014417451,0.535488,1.69272,1.71233,
1640014417471,0.535488,1.69272,1.71233,
1640014417491,0.55406,1.68544,1.71233,
1640014417511,0.55406,1.68544,1.7222,
1640014417531,0.546777,1.68544,1.7222,
1640014417551,0.546777,1.69075,1.72164,
1640014417571,0.53658,1.69075,1.72164,
1640014417591,0.53658,1.69528,1.72164,
1640014417611,0.53658,1.69528,1.72239,
1640014417631,0.537855,1.69528,1.72239,
1640014417651,0.537855,1.68563,1.71717,
1640014417671,0.537491,1.68563,1.71717,
1640014417691,0.537491,1.68386,1.71643,
1640014417711,0.537491,1.68386,1.71643,
1640014417731,0.542225,1.67481,1.71643,
1640014417751,0.542225,1.67481,1.71401,
1640014417771,0.548415,1.67481,1.71401,
1640014417791,0.548415,1.68623,1.71922,
1640014417811,0.545866,1.68623,1.71922,
1640014417831,0.545866,1.6815,1.71922,
1640014417851,0.545866,1.6815,1.72406,
1640014417871,0.540222,1.6815,1.72406,
1640014417891,0.540222,1.69115,1.71792,
1640014417911,0.539675,1.69115,1.71792,
1640014417931,0.539675,1.69705,1.72872,
1640014417951,0.539675,1.69705,1.72872,
1640014417971,0.541314,1.7006,1.72872,
1640014417991,0.541314,1.7006,1.72816,
1640014418011,0.53658,1.7006,1.72816,
1640014418031,0.53658,1.69469,1.72351,
1640014418051,0.545866,1.69469,1.72351,
1640014418071,0.545866,1.69371,1.72351,
1640014418091,0.545866,1.69371,1.72518,
1640014418111,0.564802,1.69371,1.72518,
1640014418131,0.564802,1.70178,1.68514,
1640014418151,0.670953,1.70178,1.68514,
1640014418171,0.670953,1.69686,1.65831,
1640014418191,0.670953,1.69686,1.65831,
1640014418211,0.815158,1.79924,1.65831,
1640014418231,0.815158,1.79924,1.71866,
1640014418251,0.701724,1.79924,1.71866,
1640014418271,0.701724,1.60944,1.52197,
1640014418291,0.564802,1.60944,1.52197,
1640014418311,0.564802,1.75888,1.52197,
1640014418331,0.564802,1.75888,1.5961,
1640014418351,0.519465,1.75888,1.5961,
1640014418371,0.519465,1.72501,1.82334,
1640014418391,0.49452,1.72501,1.82334,
1640014418411,0.49452,1.79668,1.84104,
1640014418431,0.49452,1.79668,1.84104,
1640014418451,0.523107,1.69705,1.84104,
1640014418471,0.523107,1.69705,1.78795,
1640014418491,0.515641,1.69705,1.78795,
1640014418511,0.515641,1.68583,1.79857,
1640014418531,0.529843,1.68583,1.79857,
1640014418551,0.529843,1.67835,1.79857,
1640014418571,0.529843,1.67835,1.77566,
1640014418591,0.464842,1.67835,1.77566,
1640014418611,0.464842,1.6945,1.73785,
1640014418631,0.467209,1.6945,1.73785,
1640014418651,0.467209,1.69174,1.73878,
1640014418671,0.467209,1.69174,1.73878,
1640014418691,0.469576,1.68957,1.73878,
1640014418711,0.469576,1.68957,1.74735,
1640014418731,0.428062,1.68957,1.74735,
1640014418751,0.428062,1.68465,1.72351,
1640014418771,0.407306,1.68465,1.72351,
1640014418791,0.407306,1.68977,1.72351,
1640014418811,0.407306,1.68977,1.72295,
1640014418831,0.407852,1.68977,1.72295,
1640014418851,0.407852,1.68032,1.72108,
1640014418871,0.38309,1.68032,1.72108,
1640014418891,0.38309,1.68229,1.71829,
1640014418911,0.38309,1.68229,1.71829,
1640014418931,0.404757,1.69272,1.71829,
1640014418951,0.404757,1.69272,1.72462,
1640014418971,0.407488,1.69272,1.72462,
1640014418991,0.407488,1.6939,1.74046,
1640014419011,0.405121,1.6939,1.74046,
1640014419031,0.405121,1.69804,1.74046,
1640014419051,0.405121,1.69804,1.72723,
1640014419071,0.409308,1.69804,1.72723,
1640014419091,0.409308,1.67776,1.71661,
1640014419111,0.417502,1.67776,1.71661,
1640014419131,0.417502,1.68091,1.71606,
1640014419151,0.417502,1.68091,1.71606,
