time,1,2,3
1640014780021,3.3211e-06,8.464e-06,9.179e-06,
1640014780041,3.3211e-06,8.464e-06,9.179e-06,
1640014780061,3.3211e-06,8.464e-06,9.179e-06,
1640014780081,3.3211e-06,8.464e-06,9.179e-06,
1640014780117,3.18792e-06,9.06e-06,8.225e-06,
1640014780121,3.18792e-06,9.06e-06,8.225e-06,
1640014780141,3.18792e-06,9.06e-06,8.225e-06,
1640014780161,3.18792e-06,9.06e-06,8.225e-06,
1640014780181,3.18792e-06,9.06e-06,8.225e-06,
1640014780201,3.18792e-06,9.06e-06,8.225e-06,
1640014780221,3.18792e-06,9.06e-06,8.225e-06,
1640014780241,3.18792e-06,9.06e-06,8.225e-06,
1640014780261,3.18792e-06,9.06e-06,8.225e-06,
1640014780281,3.18792e-06,9.06e-06,8.225e-06,
1640014780301,3.18792e-06,9.06e-06,8.225e-06,
1640014780321,3.18792e-06,9.06e-06,8.225e-06,
1640014780341,3.18792e-06,9.06e-06,8.225e-06,
1640014780361,3.18792e-06,9.06e-06,8.225e-06,
1640014780381,3.18792e-06,9.06e-06,8.225e-06,
1640014780401,3.18792e-06,9.06e-06,8.225e-06,
1640014780421,3.18792e-06,9.06e-06,8.225e-06,
1640014780441,3.18792e-06,9.06e-06,8.225e-06,
1640014780461,3.18792e-06,9.06e-06,8.225e-06,
1640014780481,3.18792e-06,9.06e-06,8.225e-06,
1640014780501,3.18792e-06,9.06e-06,8.225e-06,
1640014780521,3.18792e-06,9.06e-06,8.225e-06,
1640014780541,3.18792e-06,9.06e-06,8.225e-06,
1640014780561,3.03332e-06,9.06e-06,8.225e-06,
1640014780581,3.03332e-06,8.67248e-06,8.39867e-06,
1640014780601,3.00072e-06,8.67248e-06,8.39867e-06,
1640014780621,3.00072e-06,8.70135e-06,8.44244e-06,
1640014780641,3.0892e-06,8.70135e-06,8.44244e-06,
1640014780661,3.0892e-06,8.61287e-06,8.50298e-06,
1640014780681,3.05008e-06,8.61287e-06,8.50298e-06,
1640014780701,3.05008e-06,8.64174e-06,8.48714e-06,
1640014780721,3.0417e-06,8.64174e-06,8.48714e-06,
1640014780741,3.0417e-06,8.64454e-06,8.49646e-06,
1640014780761,3.0417e-06,8.64454e-06,8.49646e-06,
1640014780781,3.00445e-06,8.68365e-06,8.46852e-06,
1640014780801,3.00445e-06,8.68365e-06,8.46852e-06,
1640014780821,2.98116e-06,8.64081e-06,8.50763e-06,
1640014780841,2.98116e-06,8.64081e-06,8.50763e-06,
